institution_a,profile_a,severity_a,institution_b,profile_b,severity_b,severity_gap,feature_l1_distance
INST_001,2,0.5192307692307693,INST_035,1,0.4897435897435898,0.029487179487179493,10.716666666666667
INST_019,1,0.4692307692307693,INST_054,2,0.43974358974358974,0.02948717948717955,3.1166666666666667
INST_041,2,0.47820512820512817,INST_067,1,0.5076923076923078,0.029487179487179604,5.283333333333333
INST_039,2,0.5166666666666666,INST_057,1,0.4858974358974359,0.030769230769230715,6.233333333333333
INST_013,1,0.4282051282051282,INST_022,2,0.4589743589743589,0.030769230769230715,5.733333333333333
INST_019,1,0.4692307692307693,INST_051,2,0.5,0.030769230769230715,5.733333333333333
INST_032,1,0.4858974358974359,INST_039,2,0.5166666666666666,0.030769230769230715,5.066666666666666
INST_001,2,0.5192307692307693,INST_080,1,0.55,0.03076923076923077,7.1000000000000005
INST_041,2,0.47820512820512817,INST_070,1,0.5089743589743589,0.03076923076923077,6.6000000000000005
INST_001,2,0.5192307692307693,INST_007,1,0.55,0.03076923076923077,5.266666666666667
INST_054,2,0.43974358974358974,INST_075,1,0.47051282051282056,0.030769230769230826,8.1
INST_034,2,0.4974358974358974,INST_043,1,0.5282051282051282,0.030769230769230826,7.766666666666667
INST_036,2,0.4974358974358974,INST_043,1,0.5282051282051282,0.030769230769230826,7.766666666666667
INST_022,2,0.4589743589743589,INST_035,1,0.4897435897435898,0.030769230769230882,8.766666666666667
INST_005,1,0.5974358974358974,INST_037,2,0.6282051282051283,0.030769230769230882,5.566666666666666
INST_022,2,0.4589743589743589,INST_047,1,0.4269230769230769,0.03205128205128199,5.083333333333333
INST_003,1,0.6615384615384615,INST_037,2,0.6282051282051283,0.033333333333333215,5.066666666666666
INST_021,1,0.4641025641025641,INST_036,2,0.4974358974358974,0.03333333333333327,6.2666666666666675
INST_021,1,0.4641025641025641,INST_034,2,0.4974358974358974,0.03333333333333327,5.7666666666666675
INST_043,1,0.5282051282051282,INST_065,2,0.5615384615384615,0.033333333333333326,6.933333333333334
INST_001,2,0.5192307692307693,INST_045,1,0.5525641025641026,0.033333333333333326,6.7333333333333325
INST_001,2,0.5192307692307693,INST_057,1,0.4858974358974359,0.03333333333333338,8.933333333333334
INST_001,2,0.5192307692307693,INST_032,1,0.4858974358974359,0.03333333333333338,7.7666666666666675
INST_022,2,0.4589743589743589,INST_061,1,0.4923076923076923,0.03333333333333338,5.9
INST_053,1,0.4730769230769231,INST_054,2,0.43974358974358974,0.03333333333333338,5.566666666666666
INST_002,1,0.5115384615384616,INST_041,2,0.47820512820512817,0.03333333333333344,6.4
INST_039,2,0.5166666666666666,INST_080,1,0.55,0.03333333333333344,4.4
INST_007,1,0.55,INST_039,2,0.5166666666666666,0.03333333333333344,2.566666666666667
INST_022,2,0.4589743589743589,INST_064,1,0.42435897435897435,0.03461538461538455,3.45
INST_022,2,0.4589743589743589,INST_066,1,0.42435897435897435,0.03461538461538455,3.45
INST_013,1,0.4282051282051282,INST_071,2,0.46282051282051284,0.03461538461538466,4.616666666666666
